cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_10.json;10967,97;8117,25;1,3512;1435,89;200;2383,24
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_2.json;10613,09;8663,64;1,2250;1677,14;200;2316,40
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_3.json;10088,32;8639,28;1,1677;1641,81;200;2644,37
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_4.json;11381,58;8592,41;1,3246;1172,63;200;2466,83
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_5.json;11456,12;8475,06;1,3517;1054,29;200;2305,84
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_6.json;11566,22;8413,80;1,3747;1273,77;200;2289,39
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_7.json;11460,27;8537,72;1,3423;1057,22;200;2299,57
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_8.json;11138,63;8507,58;1,3093;630,86;200;2342,59
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_9.json;11208,13;8556,45;1,3099;1237,75;200;2291,25
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_1.json;2555,45;2354,69;1,0853;359,20;200;613,91
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_10.json;2744,19;2225,42;1,2331;572,87;200;634,15
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_2.json;2685,80;2235,22;1,2016;532,62;200;600,83
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_3.json;2555,06;2278,45;1,1214;422,54;200;606,88
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_4.json;2706,20;2314,80;1,1691;519,47;200;609,36
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_5.json;2865,15;2374,56;1,2066;375,48;200;622,61
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_6.json;2626,61;2308,07;1,1380;444,53;200;626,55
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_7.json;2532,79;2301,48;1,1005;471,18;200;638,91
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_8.json;2673,44;2186,18;1,2229;470,94;200;606,08
HHLHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHL\HHLHHHL_9.json;2540,49;2166,03;1,1729;379,89;200;599,55
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_1.json;9172,91;8231,40;1,1144;2354,47;200;197,12
